rainfall,temperature,humidity,wind_speed,elevation,slope,hazard_risk_score
245.5,28.2,94.0,48.5,120.0,18.5,82.5
180.2,26.5,88.5,35.0,340.0,24.0,74.0
45.0,32.0,62.0,14.2,580.0,8.2,25.0
310.8,24.8,98.0,72.0,45.0,2.5,91.0
92.4,30.1,75.0,22.5,410.0,14.1,48.0
15.2,35.5,42.0,10.0,850.0,5.0,12.0
195.0,27.0,91.0,52.0,210.0,21.0,78.5
280.0,25.0,96.0,65.0,85.0,15.0,88.0
110.5,29.0,80.0,28.0,310.0,11.0,52.0
30.0,34.0,50.0,12.0,620.0,6.0,18.0
220.4,26.8,93.0,42.0,160.0,19.2,79.0
160.0,28.5,85.0,30.0,280.0,16.5,68.0
5.0,38.0,35.0,8.0,900.0,3.0,8.0
340.0,23.5,99.0,80.0,25.0,1.2,96.0
130.0,31.0,78.0,25.0,390.0,12.0,55.0
